time,bandVelocityActual,currentRMS,feedRateActual,machineRunning,microphoneRMS,temperatureRMS,vibrationRMS,Experiment No,Piece No,Material
2025-12-12 18:24:04,26,0.7192622423171997,53,True,0.0954929441213607,22.36762428283691,3.2212438583374023,-1,-1,Empty
2025-12-12 18:24:05,26,0.7418293952941895,53,True,0.0960098505020141,22.353906631469727,3.324414014816284,-1,-1,Empty
2025-12-12 18:24:07,26,0.719535231590271,53,True,0.0974807813763618,22.331558227539062,3.05033540725708,-1,-1,Empty
2025-12-12 18:24:08,26,0.6964089274406433,53,True,0.1503368616104126,22.31167221069336,9.575085639953612,-1,-1,Empty
2025-12-12 18:24:09,26,1.3430382013320925,53,True,0.6963964104652405,22.298877716064453,34.8135986328125,-1,-1,Empty
2025-12-12 18:24:10,26,1.501450538635254,53,True,0.4375459253787994,22.29163360595703,32.183876037597656,-1,-1,Empty
2025-12-12 18:24:11,26,1.5314228534698486,53,True,0.4969053566455841,22.266353607177734,52.04026412963867,-1,-1,Empty
2025-12-12 18:24:12,26,1.525184154510498,53,True,0.4087254106998443,22.249401092529297,19.54865264892578,-1,-1,Empty
2025-12-12 18:24:13,26,1.5257837772369385,53,True,0.3244454562664032,22.23429298400879,21.890625,-1,-1,Empty
2025-12-12 18:24:14,26,1.5250056982040403,53,True,0.3046072423458099,22.214099884033203,23.885652542114254,-1,-1,Empty
2025-12-12 18:24:15,26,1.497597336769104,53,True,0.305291473865509,22.18928337097168,25.838613510131836,-1,-1,Empty
2025-12-12 18:24:16,26,1.5185894966125488,53,True,0.2984816431999206,22.17849349975586,25.09870147705078,-1,-1,Empty
2025-12-12 18:24:17,26,1.4848676919937134,53,True,0.2931651473045349,22.1607666015625,27.85860252380371,-1,-1,Empty
2025-12-12 18:24:21,26,1.5170743465423584,53,True,0.3821681141853332,22.072906494140625,32.36083984375,-1,-1,Empty
2025-12-12 18:24:22,26,1.492453694343567,53,True,0.3140105307102203,22.051172256469727,28.60697555541992,-1,-1,Empty
2025-12-12 18:24:23,26,1.477087140083313,53,True,0.3469274044036865,22.0188045501709,33.777503967285156,-1,-1,Empty
